iter	Passed	Remaining
404	10868	69640
405	10896	69620
406	10922	69587
407	10948	69557
408	10975	69532
409	11003	69508
410	11031	69487
411	11056	69452
412	11082	69418
413	11107	69384
414	11136	69367
415	11162	69337
416	11188	69306
417	11213	69268
418	11240	69241
419	11267	69215
420	11293	69182
421	11323	69175
422	11349	69141
423	11373	69102
424	11400	69075
425	11428	69054
426	11454	69020
427	11479	68986
428	11505	68952
429	11533	68930
430	11560	68907
431	11587	68878
432	11613	68852
433	11641	68830
434	11668	68803
435	11695	68779
436	11721	68745
437	11747	68717
438	11775	68695
439	11801	68664
440	11830	68649
441	11860	68642
442	11887	68614
443	11915	68591
444	11942	68568
445	11968	68538
446	11996	68518
447	12022	68484
448	12048	68456
449	12074	68421
450	12105	68420
451	12135	68410
452	12162	68384
453	12189	68357
454	12215	68325
455	12242	68300
456	12270	68279
457	12298	68257
458	12327	68241
459	12355	68225
460	12382	68197
461	12409	68169
462	12434	68135
463	12461	68107
464	12486	68072
465	12513	68046
466	12541	68024
467	12569	68002
468	12595	67970
469	12621	67941
470	12648	67913
471	12675	67891
472	12702	67863
473	12730	67840
474	12755	67807
475	12783	67786
476	12809	67755
477	12837	67733
478	12864	67707
479	12892	67684
480	12919	67658
481	12944	67625
482	12971	67598
483	12998	67569
484	13023	67535
485	13050	67506
486	13074	67467
487	13101	67442
488	13127	67407
489	13154	67381
490	13180	67352
491	13207	67324
492	13233	67292
493	13261	67272
494	13288	67248
495	13316	67226
496	13344	67206
497	13372	67183
498	13398	67153
499	13426	67132
500	13455	67114
501	13483	67094
502	13526	67149
503	13569	67199
504	13608	67235
505	13649	67274
506	13688	67309
507	13719	67302
508	13747	67281
509	13774	67250
510	13801	67225
511	13829	67201
512	13855	67172
513	13883	67146
514	13910	67122
515	13938	67097
516	13963	67063
517	13989	67032
518	14016	67005
519	14043	66974
520	14069	66945
521	14102	66945
522	14135	66949
523	14166	66940
524	14196	66926
525	14240	66980
526	14279	67006
527	14317	67031
528	14348	67024
529	14380	67017
530	14412	67015
531	14439	66988
532	14467	66962
533	14493	66928
534	14519	66898
535	14546	66870
536	14572	66838
537	14597	66799
538	14623	66770
539	14652	66749
540	14678	66718
541	14706	66694
542	14732	66662
543	14760	66640
544	14787	66613
545	14819	66605
546	14846	66580
547	14875	66560
548	14902	66530
549	14929	66503
550	14955	66469
551	14981	66439
552	15008	66412
553	15035	66384
554	15062	66354
555	15089	66327
556	15115	66296
557	15141	66264
558	15168	66237
559	15194	66204
560	15221	66175
561	15250	66156
562	15275	66122
563	15305	66107
564	15332	66077
565	15360	66053
566	15390	66039
567	15417	66012
568	15444	65984
569	15469	65948
570	15495	65916
571	15522	65887
572	15549	65861
573	15579	65846
574	15607	65823
575	15634	65793
576	15659	65760
577	15687	65737
578	15715	65712
579	15742	65686
580	15770	65659
581	15797	65630
582	15823	65600
583	15849	65570
584	15876	65540
585	15903	65512
586	15929	65483
587	15955	65450
588	15983	65424
589	16009	65393
590	16036	65365
591	16063	65339
592	16090	65312
593	16117	65285
594	16144	65255
595	16170	65223
596	16197	65195
597	16223	65166
598	16251	65141
599	16276	65106
600	16302	65074
601	16328	65044
602	16355	65015
603	16381	64984
604	16406	64947
605	16433	64919
606	16459	64889
607	16484	64855
608	16511	64825
609	16536	64791
610	16563	64763
611	16589	64732
612	16616	64704
613	16641	64669
614	16669	64644
615	16696	64616
616	16723	64590
617	16751	64567
618	16777	64535
619	16805	64510
620	16830	64476
621	16855	64440
622	16880	64407
623	16907	64378
624	16932	64342
625	16959	64317
626	16987	64293
627	17014	64266
628	17043	64243
629	17070	64217
630	17097	64189
631	17123	64157
632	17149	64128
633	17176	64099
634	17202	64068
635	17231	64048
636	17257	64017
637	17283	63987
638	17313	63969
639	17339	63939
640	17365	63908
641	17392	63881
642	17418	63850
643	17445	63821
644	17470	63788
645	17495	63754
646	17523	63729
647	17551	63704
648	17577	63674
649	17603	63642
650	17629	63611
651	17654	63578
652	17681	63550
653	17710	63528
654	17739	63509
655	17767	63487
656	17797	63469
657	17827	63454
658	17860	63445
659	17895	63449
660	17930	63449
661	17962	63438
662	17989	63410
663	18013	63372
664	18038	63339
665	18065	63310
666	18090	63274
667	18116	63245
668	18143	63216
669	18169	63187
670	18198	63164
671	18223	63132
672	18249	63100
673	18274	63064
674	18301	63039
675	18326	63005
676	18353	62977
677	18380	62947
678	18406	62917
679	18434	62892
680	18460	62864
681	18488	62838
682	18515	62810
683	18542	62782
684	18568	62754
685	18597	62733
686	18623	62702
687	18650	62673
688	18677	62648
689	18704	62620
690	18731	62590
691	18757	62560
692	18783	62530
693	18809	62498
694	18836	62473
695	18862	62442
696	18888	62409
697	18913	62377
698	18939	62345
699	18965	62315
700	18992	62287
701	19018	62257
702	19045	62228
703	19070	62196
704	19097	62168
705	19123	62139
706	19151	62114
707	19178	62086
708	19206	62062
709	19234	62038
710	19260	62006
711	19285	61974
712	19312	61945
713	19340	61920
714	19369	61900
715	19396	61872
716	19422	61842
717	19468	61877
718	19504	61878
719	19543	61888
720	19580	61892
721	19615	61890
722	19645	61872
723	19676	61854
724	19702	61825
725	19728	61794
726	19755	61767
727	19782	61739
728	19809	61710
729	19835	61681
730	19866	61665
731	19897	61648
732	19930	61639
733	19961	61626
734	19987	61595
735	20013	61564
736	20042	61540
737	20068	61510
738	20094	61481
739	20118	61444
740	20145	61416
741	20172	61386
742	20199	61359
743	20227	61334
744	20253	61305
745	20280	61276
746	20308	61250
747	20337	61228
748	20366	61207
749	20393	61180
750	20420	61151
751	20445	61118
752	20472	61092
753	20498	61061
754	20525	61033
755	20554	61011
756	20586	60998
757	20616	60980
758	20642	60948
759	20669	60920
760	20698	60898
761	20724	60868
762	20750	60838
763	20777	60808
764	20802	60777
765	20830	60750
766	20858	60725
767	20885	60698
768	20910	60665
769	20939	60641
770	20965	60612
771	20993	60586
772	21019	60556
773	21045	60525
774	21071	60496
775	21097	60466
776	21124	60437
777	21151	60410
778	21179	60384
779	21205	60353
780	21234	60331
781	21261	60305
782	21287	60274
783	21313	60242
784	21338	60210
785	21363	60177
786	21389	60147
787	21418	60123
788	21445	60096
789	21471	60066
790	21500	60043
791	21528	60019
792	21557	59996
793	21583	59965
794	21608	59934
795	21636	59908
796	21663	59879
797	21688	59847
798	21715	59819
799	21742	59792
800	21768	59760
801	21793	59728
802	21819	59698
803	21853	59690
804	21890	59688
805	21917	59661
806	21943	59630
807	21969	59600
808	21997	59574
809	22023	59544
810	22049	59513
811	22075	59485
812	22102	59457
813	22129	59427
814	22155	59398
815	22181	59368
816	22209	59342
817	22235	59313
818	22261	59282
819	22299	59284
820	22334	59277
821	22371	59276
822	22412	59284
823	22448	59282
824	22485	59279
825	22516	59261
826	22542	59232
827	22568	59202
828	22596	59176
829	22624	59150
830	22652	59125
831	22681	59103
832	22707	59072
833	22734	59043
834	22761	59016
835	22787	58985
836	22815	58959
837	22840	58927
838	22865	58894
839	22891	58864
840	22918	58836
841	22946	58810
842	22973	58782
843	22997	58747
844	23023	58715
845	23049	58686
846	23075	58655
847	23101	58624
848	23127	58595
849	23151	58559
850	23178	58530
851	23204	58500
852	23229	58467
853	23255	58438
854	23282	58411
855	23311	58386
856	23336	58353
857	23362	58323
858	23389	58297
859	23414	58263
860	23440	58233
861	23466	58202
862	23492	58172
863	23517	58139
864	23543	58110
865	23573	58091
866	23601	58063
867	23626	58033
868	23651	57998
869	23677	57968
870	23703	57938
871	23728	57905
872	23754	57876
873	23783	57852
874	23811	57827
875	23838	57800
876	23865	57773
877	23890	57740
878	23913	57702
879	23939	57672
880	23964	57640
881	23993	57616
882	24018	57583
883	24043	57551
884	24068	57518
885	24093	57487
886	24119	57456
887	24144	57425
888	24169	57392
889	24195	57362
890	24221	57331
891	24248	57303
892	24274	57275
893	24299	57243
894	24325	57212
895	24352	57185
896	24380	57159
897	24408	57134
898	24434	57104
899	24459	57072
900	24485	57041
901	24511	57012
902	24537	56983
903	24563	56951
904	24590	56925
905	24615	56892
906	24641	56861
907	24668	56834
908	24694	56805
909	24720	56775
910	24745	56744
911	24771	56713
912	24797	56684
913	24823	56654
914	24849	56624
915	24876	56596
916	24901	56565
917	24928	56536
918	24955	56508
919	24982	56481
920	25007	56449
921	25034	56422
922	25059	56391
923	25087	56365
924	25114	56337
925	25143	56314
926	25170	56286
927	25197	56260
928	25222	56227
929	25248	56197
930	25275	56170
931	25303	56144
932	25330	56117
933	25355	56085
934	25382	56057
935	25408	56028
936	25435	56000
937	25461	55971
938	25486	55940
939	25513	55912
940	25538	55881
941	25566	55854
942	25591	55822
943	25616	55792
944	25641	55759
945	25667	55731
946	25695	55704
947	25721	55676
948	25749	55650
949	25775	55621
950	25803	55594
951	25827	55561
952	25854	55533
953	25879	55502
954	25904	55471
955	25929	55439
956	25954	55407
957	25980	55377
958	26006	55348
959	26033	55322
960	26059	55291
961	26095	55282
962	26126	55264
963	26159	55249
964	26190	55231
965	26219	55207
966	26248	55184
967	26279	55164
968	26311	55147
969	26340	55125
970	26369	55102
971	26400	55083
972	26429	55058
973	26459	55037
974	26487	55012
975	26512	54981
976	26538	54951
977	26566	54926
978	26591	54894
979	26619	54868
980	26644	54837
981	26669	54806
982	26696	54778
983	26724	54753
984	26746	54714
985	26768	54677
986	26794	54646
987	26822	54623
988	26851	54599
989	26880	54576
990	26909	54551
991	26938	54529
992	26966	54502
993	26991	54472
994	27019	54445
995	27047	54421
996	27078	54401
997	27109	54382
998	27140	54361
999	27172	54344
1000	27201	54322
1001	27228	54294
1002	27256	54268
1003	27283	54240
1004	27309	54212
1005	27336	54183
1006	27367	54164
1007	27399	54145
1008	27431	54128
1009	27464	54113
1010	27490	54084
1011	27511	54044
1012	27534	54009
1013	27563	53985
1014	27593	53962
1015	27619	53933
1016	27647	53908
1017	27676	53885
1018	27702	53856
1019	27730	53830
1020	27756	53800
1021	27784	53774
1022	27810	53745
1023	27837	53716
1024	27866	53693
1025	27892	53665
1026	27913	53625
1027	27941	53599
1028	27969	53574
1029	27999	53552
1030	28028	53529
1031	28056	53502
1032	28083	53475
1033	28110	53448
1034	28136	53419
1035	28165	53394
1036	28191	53365
1037	28216	53334
1038	28243	53306
1039	28271	53280
1040	28298	53253
1041	28325	53226
1042	28354	53201
1043	28381	53174
1044	28412	53154
1045	28441	53130
1046	28468	53103
1047	28498	53081
1048	28525	53054
1049	28554	53029
1050	28582	53003
1051	28608	52975
1052	28635	52947
1053	28660	52916
1054	28686	52886
1055	28713	52858
1056	28738	52828
1057	28764	52797
1058	28792	52772
1059	28821	52748
1060	28849	52723
1061	28878	52698
1062	28905	52671
1063	28932	52643
1064	28960	52617
1065	28987	52591
1066	29014	52562
1067	29041	52535
1068	29066	52504
1069	29092	52476
1070	29120	52448
1071	29145	52417
1072	29171	52389
1073	29197	52360
1074	29224	52332
1075	29252	52305
1076	29280	52280
1077	29309	52256
1078	29339	52235
1079	29368	52210
1080	29394	52182
1081	29423	52157
1082	29449	52128
1083	29475	52098
1084	29504	52073
1085	29530	52045
1086	29557	52017
1087	29585	51991
1088	29606	51954
1089	29626	51914
1090	29648	51878
1091	29677	51853
1092	29709	51836
1093	29739	51812
1094	29768	51788
1095	29795	51761
1096	29825	51738
1097	29855	51716
1098	29885	51694
1099	29911	51665
1100	29939	51638
1101	29959	51600
1102	29986	51572
1103	30015	51548
1104	30044	51523
1105	30075	51502
1106	30105	51481
1107	30133	51456
1108	30161	51429
1109	30190	51405
1110	30217	51378
1111	30243	51349
1112	30270	51321
1113	30298	51295
1114	30324	51266
1115	30351	51238
1116	30377	51209
1117	30403	51179
1118	30431	51153
1119	30457	51125
1120	30484	51097
1121	30510	51067
1122	30537	51040
1123	30564	51013
1124	30591	50986
1125	30618	50957
1126	30644	50929
1127	30669	50897
1128	30695	50868
1129	30722	50842
1130	30747	50810
1131	30772	50780
1132	30799	50752
1133	30827	50726
1134	30853	50697
1135	30880	50670
1136	30906	50641
1137	30934	50615
1138	30961	50587
1139	30987	50558
1140	31012	50528
1141	31039	50500
1142	31068	50475
1143	31095	50448
1144	31120	50417
1145	31147	50390
1146	31174	50362
1147	31199	50332
1148	31227	50306
1149	31253	50276
1150	31279	50248
1151	31307	50222
1152	31337	50200
1153	31364	50172
1154	31392	50145
1155	31420	50121
1156	31450	50097
1157	31477	50070
1158	31505	50043
1159	31532	50016
1160	31560	49991
1161	31589	49966
1162	31615	49937
1163	31642	49909
1164	31670	49883
1165	31698	49858
1166	31725	49831
1167	31752	49803
1168	31781	49779
1169	31810	49754
1170	31837	49727
1171	31863	49698
1172	31891	49672
1173	31918	49645
1174	31946	49618
